"","Id","Label","Interval","Weight","Dept","Orientation"
"188","SQ1eGN4AAAAJ","MOHAMMADTAGHI HAJIAGHAYI ",0,3,"CS","CS"
"189","S6P75HkAAAAJ","HAO WANG ",0,5,"CS","CS"
"190","AQ6AppgAAAAJ","YANG RICHARD YANG ",0,8,"CS","XD"
"191","17H27fYAAAAJ","SARA C HOTCHKISS ",0,1,"BIO","BIO"
"192","Baxmj8AAAAAJ","JAMES R KELLNER ",0,1,"BIO","BIO"
"193","19qSWk8AAAAJ","GUY KORTSARZ ",0,2,"CS","CS"
"194","1a17o2YAAAAJ","DAVID JOSEPH SULLIVAN ",0,3,"BIO","BIO"
"195","R3gBbQ0AAAAJ","J LIN ",0,1,"BIO","BIO"
"196","n3qeflAAAAAJ","ISABELLE COPPENS ",0,2,"BIO","BIO"
"197","HTbZCZ4AAAAJ","DAVID S ROOS ",0,3,"BIO","BIO"
"198","1A9MXTkAAAAJ","DEANA L ERDNER ",0,1,"BIO","BIO"
"199","NtLLvQoAAAAJ","JEREMIAH D HACKETT ",0,1,"BIO","BIO"
"200","1Aa3qxIAAAAJ","HAO CHEN ",0,2,"CS","XD"
"201","1BZVKNkAAAAJ","ZEMER GITAI ",0,1,"BIO","BIO"
"202","eUgyFekAAAAJ","PATRICK EICHENBERGER ",0,3,"BIO","BIO"
"203","1DpUSnsAAAAJ","PHILIPPE CLUZEL ",0,1,"BIO","BIO"
"204","rxsX7DcAAAAJ","JOHN F MARKO ",0,1,"BIO","BIO"
"205","1fEZ_osAAAAJ","BABA C VEMURI ",0,2,"CS","CS"
"206","6JEDxqcAAAAJ","ANAND RANGARAJAN ",0,2,"CS","CS"
"207","f5CUbRIAAAAJ","ARUNAVA BANERJEE ",0,2,"CS","CS"
"208","1hEE9ZsAAAAJ","FRANK MUELLER ",0,1,"CS","XD"
"209","1HYDaVIAAAAJ","JAMES D ASPNES ",0,1,"CS","CS"
"210","bxi6JXYAAAAJ","DANA ANGLUIN ",0,1,"CS","CS"
"211","a8jIPIkAAAAJ","VINOD VAIKUNTANATHAN ",0,4,"CS","CS"
"212","1LUuMc8AAAAJ","ANDREA WERNECK RICHA ",0,1,"CS","CS"
"213","LPTkkxUAAAAJ","NANCY ANN LYNCH ",0,1,"CS","CS"
"214","1lvl_XYAAAAJ","SAVITHRAMMA P DINESH-KUMAR ",0,1,"BIO","BIO"
"215","1l_zPXQAAAAJ","CLAY FUQUA ",0,1,"BIO","BIO"
"216","8v1PvG1CERwC","KEITH CLAY ",0,5,"BIO","BIO"
"217","1MwNI3EAAAAJ","TIMOTHY R LEZON ",0,1,"BIO","BIO"
"218","jXWewPgAAAAJ","IVET BAHAR ",0,1,"BIO","BIO"
"219","1QnCveAAAAAJ","GANG FANG ",0,2,"BIO","XD"
"220","1s3GeggAAAAJ","PHILIP A REA ",0,1,"BIO","BIO"
