"","google_id","year","citations","coauthor_codes"
"3265","q1bkP7AAAAAJ",1990,75,"q1bkP7AAAAAJ"
"3266","q1bkP7AAAAAJ",1990,115,"q1bkP7AAAAAJ,1"
"3267","q1bkP7AAAAAJ",1990,2168,"q1bkP7AAAAAJ"
"3268","q1bkP7AAAAAJ",1990,79,"1,1,q1bkP7AAAAAJ,1"
"3269","Q3KRC5gAAAAJ",1990,103,"Q3KRC5gAAAAJ"
"3270","Q4NenncAAAAJ",1990,66,"Q4NenncAAAAJ"
"3271","Q4NenncAAAAJ",1990,10,"0,2,0,Q4NenncAAAAJ"
"3272","q5RyRCMAAAAJ",1990,360,"0,0,0,0,0,q5RyRCMAAAAJ,0"
"3273","q5RyRCMAAAAJ",1990,145,"0,0,0,0,0,q5RyRCMAAAAJ,0"
"3274","q5z-aZEAAAAJ",1990,13,"0,0,0,0,0,0,0,0,0,q5z-aZEAAAAJ"
"3275","q5z-aZEAAAAJ",1990,18,"0,q5z-aZEAAAAJ"
"3276","q5z-aZEAAAAJ",1990,79,"0,q5z-aZEAAAAJ"
"3277","q6LXYtUAAAAJ",1990,34,"q6LXYtUAAAAJ,1"
"3278","q82gOawAAAAJ",1990,97,"q82gOawAAAAJ,1"
"3279","q92q8SMAAAAJ",1990,9,"1,q92q8SMAAAAJ"
"3280","q92q8SMAAAAJ",1990,9,"1,1,q92q8SMAAAAJ"
"3281","q92q8SMAAAAJ",1990,2,"2,1,q92q8SMAAAAJ"
"3282","q92q8SMAAAAJ",1990,1,"2,1,q92q8SMAAAAJ"
"3283","q92q8SMAAAAJ",1990,1,"1,1,q92q8SMAAAAJ"
"3284","q9z6Pt8AAAAJ",1990,82,"q9z6Pt8AAAAJ"
"3285","q9z6Pt8AAAAJ",1990,34,"2,q9z6Pt8AAAAJ,ywgYvpsAAAAJ"
"3286","q9z6Pt8AAAAJ",1990,6,"q9z6Pt8AAAAJ,0"
"3287","q9z6Pt8AAAAJ",1990,315,"q9z6Pt8AAAAJ"
"3288","qABYFOIAAAAJ",1990,37,"qABYFOIAAAAJ,1"
"3289","QaLf6bEAAAAJ",1990,15,"QaLf6bEAAAAJ,1,1,1"
"3290","QaLf6bEAAAAJ",1990,61,"QaLf6bEAAAAJ,1,1,1"
"3291","QaLf6bEAAAAJ",1990,45,"QaLf6bEAAAAJ,1,1"
"3292","QaLf6bEAAAAJ",1990,107,"QaLf6bEAAAAJ,1"
"3293","QaLf6bEAAAAJ",1990,23,"QaLf6bEAAAAJ,1,1,1"
"3294","qBTbnEQAAAAJ",1990,138,"1,1,qBTbnEQAAAAJ"
"3295","qBTbnEQAAAAJ",1990,12,"1,1,qBTbnEQAAAAJ,1"
"3296","qBTbnEQAAAAJ",1990,539,"qBTbnEQAAAAJ,1"
"3297","Qc7U3TcAAAAJ",1990,6,"0,Qc7U3TcAAAAJ,0,0,0,0"
"3298","Qc7U3TcAAAAJ",1990,39,"0,0,Qc7U3TcAAAAJ,0,0,0,0,0,2,0,0"
"3299","qCVy9hgAAAAJ",1990,108,"0,qCVy9hgAAAAJ"
"3300","qCVy9hgAAAAJ",1990,62,"qCVy9hgAAAAJ"
"3301","qCVy9hgAAAAJ",1990,11,"0,2,qCVy9hgAAAAJ,0"
"3302","qCVy9hgAAAAJ",1990,83,"0,2,0,2,qCVy9hgAAAAJ,0,2,0"
"3303","qCVy9hgAAAAJ",1990,125,"VBkNT98AAAAJ,qCVy9hgAAAAJ"
"3304","Qd1nLUYAAAAJ",1990,20,"0,0,Qd1nLUYAAAAJ"
"3305","QeRUVr0AAAAJ",1990,39,"QeRUVr0AAAAJ"
"3306","QeRUVr0AAAAJ",1990,1,"QeRUVr0AAAAJ"
"3307","qe_J1w4AAAAJ",1990,121,"qe_J1w4AAAAJ,VwQRddkAAAAJ"
"3308","qe_J1w4AAAAJ",1990,133,"1,qe_J1w4AAAAJ,1,1,VwQRddkAAAAJ"
"3309","qFiMLsIAAAAJ",1990,4,"qFiMLsIAAAAJ"
"3310","qFiMLsIAAAAJ",1990,7,"1,qFiMLsIAAAAJ"
"3311","qgfEdwUAAAAJ",1990,95,"qgfEdwUAAAAJ"
"3312","qgfEdwUAAAAJ",1990,80,"0,qgfEdwUAAAAJ,0"
"3313","QgGaAdsAAAAJ",1990,10,"0,0,0,QgGaAdsAAAAJ"
"3314","QgGaAdsAAAAJ",1990,10,"2,QgGaAdsAAAAJ"
"3315","QgGaAdsAAAAJ",1990,223,"0,0,0,0,QgGaAdsAAAAJ"
"3316","qHKTzjEAAAAJ",1990,198,"0,qHKTzjEAAAAJ"
"3317","qHKTzjEAAAAJ",1990,34,"2,0,qHKTzjEAAAAJ"
"3318","qHKTzjEAAAAJ",1990,286,"0,0,0,0,0,qHKTzjEAAAAJ"
"3319","qJ8iOCsAAAAJ",1990,2,"qJ8iOCsAAAAJ,0"
"3320","qJ8iOCsAAAAJ",1990,3,"qJ8iOCsAAAAJ,0,0,0"
"3321","Qjb5DnwAAAAJ",1990,58,"Qjb5DnwAAAAJ,0,0"
"3322","Qjb5DnwAAAAJ",1990,22,"0,Qjb5DnwAAAAJ,0"
"3323","Qjb5DnwAAAAJ",1990,72,"Qjb5DnwAAAAJ,0"
"3324","Qjb5DnwAAAAJ",1990,51,"0,Qjb5DnwAAAAJ,0"
