"","Source","Target","Type","Id","Label","Interval","Weight"
"129","1CtZnTMAAAAJ","5LsAK74AAAAJ","Direct","1CtZnTMAAAAJ_5LsAK74AAAAJ","Direct","",1
"130","1CtZnTMAAAAJ","rPDABdMAAAAJ","Direct","1CtZnTMAAAAJ_rPDABdMAAAAJ","Direct","",1
"131","rPDABdMAAAAJ","5LsAK74AAAAJ","Direct","rPDABdMAAAAJ_5LsAK74AAAAJ","Direct","",1
"132","1duOrVIAAAAJ","rPDABdMAAAAJ","Direct","1duOrVIAAAAJ_rPDABdMAAAAJ","Direct","",1
"133","rPDABdMAAAAJ","BGRij7sAAAAJ","Direct","rPDABdMAAAAJ_BGRij7sAAAAJ","Direct","",1
"134","1duOrVIAAAAJ","BGRij7sAAAAJ","Direct","1duOrVIAAAAJ_BGRij7sAAAAJ","Direct","",1
"135","1fEZ_osAAAAJ","gMQWxE0AAAAJ","Direct","1fEZ_osAAAAJ_gMQWxE0AAAAJ","Direct","",1
"136","1HYDaVIAAAAJ","fGcKnpIAAAAJ","Direct","1HYDaVIAAAAJ_fGcKnpIAAAAJ","Direct","",1
"137","1h_0s3wAAAAJ","jJwwFLIAAAAJ","Direct","1h_0s3wAAAAJ_jJwwFLIAAAAJ","Direct","",1
"138","1jE4flwAAAAJ","utnDy7MAAAAJ","Direct","1jE4flwAAAAJ_utnDy7MAAAAJ","Direct","",1
"139","1LUuMc8AAAAJ","e8aRmAsAAAAJ","Direct","1LUuMc8AAAAJ_e8aRmAsAAAAJ","Direct","",1
"140","e8aRmAsAAAAJ","p2ttvlEAAAAJ","Direct","e8aRmAsAAAAJ_p2ttvlEAAAAJ","Direct","",1
"141","1LUuMc8AAAAJ","p2ttvlEAAAAJ","Direct","1LUuMc8AAAAJ_p2ttvlEAAAAJ","Direct","",1
"142","1LUuMc8AAAAJ","QZrx9MEAAAAJ","Direct","1LUuMc8AAAAJ_QZrx9MEAAAAJ","Direct","",1
"143","1LUuMc8AAAAJ","O_7MVDIAAAAJ","Direct","1LUuMc8AAAAJ_O_7MVDIAAAAJ","Direct","",1
"144","O_7MVDIAAAAJ","e8aRmAsAAAAJ","Direct","O_7MVDIAAAAJ_e8aRmAsAAAAJ","Direct","",1
"145","O_7MVDIAAAAJ","p2ttvlEAAAAJ","Direct","O_7MVDIAAAAJ_p2ttvlEAAAAJ","Direct","",1
"146","1lvl_XYAAAAJ","b8foDKcAAAAJ","Direct","1lvl_XYAAAAJ_b8foDKcAAAAJ","Direct","",1
"147","1mMmqs4AAAAJ","ghWKWBUAAAAJ","Direct","1mMmqs4AAAAJ_ghWKWBUAAAAJ","Direct","",1
"148","1nr7TU0AAAAJ","DzHPx8IAAAAJ","Direct","1nr7TU0AAAAJ_DzHPx8IAAAAJ","Direct","",1
"149","1nr7TU0AAAAJ","htRNTnYAAAAJ","Direct","1nr7TU0AAAAJ_htRNTnYAAAAJ","Direct","",1
"150","1s3GeggAAAAJ","sc9YppcAAAAJ","Direct","1s3GeggAAAAJ_sc9YppcAAAAJ","Direct","",1
"151","1s3GeggAAAAJ","otivCBQAAAAJ","Direct","1s3GeggAAAAJ_otivCBQAAAAJ","Direct","",1
"152","1s3GeggAAAAJ","OayIeVEAAAAJ","Direct","1s3GeggAAAAJ_OayIeVEAAAAJ","Direct","",1
"153","1sHiufgAAAAJ","7t7dPnwAAAAJ","Direct","1sHiufgAAAAJ_7t7dPnwAAAAJ","Direct","",1
"154","1somGYUAAAAJ","IrPitBgAAAAJ","Direct","1somGYUAAAAJ_IrPitBgAAAAJ","Direct","",1
"155","1tBxBJUAAAAJ","6Yne-voAAAAJ","Direct","1tBxBJUAAAAJ_6Yne-voAAAAJ","Direct","",1
"156","1UbzzQcAAAAJ","BD8llAEAAAAJ","Direct","1UbzzQcAAAAJ_BD8llAEAAAAJ","Direct","",1
"157","1WIPsm0AAAAJ","TeWDBlIAAAAJ","Direct","1WIPsm0AAAAJ_TeWDBlIAAAAJ","Direct","",1
"158","1WIPsm0AAAAJ","TUgQVOYAAAAJ","Direct","1WIPsm0AAAAJ_TUgQVOYAAAAJ","Direct","",1
"159","TUgQVOYAAAAJ","E5y_8wIAAAAJ","Direct","TUgQVOYAAAAJ_E5y_8wIAAAAJ","Direct","",1
"160","1WIPsm0AAAAJ","E5y_8wIAAAAJ","Direct","1WIPsm0AAAAJ_E5y_8wIAAAAJ","Direct","",1
"161","1WIPsm0AAAAJ","jNUs6LsAAAAJ","Direct","1WIPsm0AAAAJ_jNUs6LsAAAAJ","Direct","",1
"162","1wq5H9oAAAAJ","bqlarqIAAAAJ","Direct","1wq5H9oAAAAJ_bqlarqIAAAAJ","Direct","",1
"163","1wq5H9oAAAAJ","LXVfPc8AAAAJ","Direct","1wq5H9oAAAAJ_LXVfPc8AAAAJ","Direct","",1
"164","1wq5H9oAAAAJ","sbyIxv0AAAAJ","Direct","1wq5H9oAAAAJ_sbyIxv0AAAAJ","Direct","",1
"165","1xfwEBAAAAAJ","ND0FM6EAAAAJ","Direct","1xfwEBAAAAAJ_ND0FM6EAAAAJ","Direct","",1
"166","2-jY1SQAAAAJ","BaI7l8QAAAAJ","Direct","2-jY1SQAAAAJ_BaI7l8QAAAAJ","Direct","",1
