"","Id","Label","Interval","Weight","Dept","Orientation"
"213","zqPtcskAAAAJ","JOHN H HARTMAN ",0,2,"CS",""
"214","NE_tfEIAAAAJ","A SINGH ",0,2,"CS",""
"215","thy6vUkAAAAJ","K SINGH ",0,1,"CS",""
"216","nNU3STcAAAAJ","PETER KAZANZIDES ",0,2,"CS",""
"217","Ph16U5wAAAAJ","RUSSELL HIGHSMITH TAYLOR ",0,2,"CS",""
"218","oD0ISLcAAAAJ","ALEXANDRU NICOLAU ",0,2,"CS",""
"219","okf5bmQAAAAJ","JUDE W SHAVLIK ",0,1,"CS",""
"220","Ok_HjPUAAAAJ","CURT M HORVATH ",0,2,"BIO",""
"221","UyIBJikAAAAJ","ROBERT A LAMB ",0,2,"BIO",""
"222","OSxYKeQAAAAJ","DINSHAW J PATEL ",0,1,"BIO",""
"223","OT79Y9UAAAAJ","MOSTAFA HAMED AMMAR ",0,1,"CS",""
"224","ouLKf2YAAAAJ","SCOTT D EMR ",0,2,"BIO",""
"225","pGGjfS8AAAAJ","DANIEL J KLIONSKY ",0,2,"BIO",""
"226","p2Kq0Q4AAAAJ","RICHARD E MICHOD ",0,2,"BIO",""
"227","su0fdf0AAAAJ","MARTIN F WOJCIECHOWSKI ",0,2,"BIO",""
"228","p5oWQ0AAAAAJ","TIM FININ ",0,1,"CS",""
"229","p9RsPG4AAAAJ","RAYMOND JOSEPH MOONEY ",0,1,"CS",""
"230","pJ28HA0AAAAJ","BART SELMAN ",0,2,"CS",""
"231","WxQyOYQAAAAJ","HENRY A KAUTZ ",0,2,"CS",""
"232","PkfChMgAAAAJ","RANDY HOWARD KATZ ",0,4,"CS",""
"233","Wj4ZBFIAAAAJ","DAVID A PATTERSON ",0,3,"CS",""
"234","WYctQAQAAAAJ","GARTH A GIBSON ",0,5,"CS",""
"235","UCiXhq4AAAAJ","DAVID A WOOD ",0,4,"CS",""
"236","tp07xT0AAAAJ","JOHN L HENNESSY ",0,3,"CS",""
"237","PLJ0L4QAAAAJ","DEBORAH L MCGUINNESS ",0,1,"CS",""
"238","PLt9wB8AAAAJ","VS A SUBRAHMANIAN ",0,1,"CS",""
"239","twwFv3QAAAAJ","JAN CHOMICKI ",0,1,"CS",""
"240","plYoF-MAAAAJ","PAUL WILLIAM BEAME ",0,2,"CS",""
"241","uLsDDUMAAAAJ","RICHARD J ANDERSON ",0,2,"CS",""
"242","pNKH6b8AAAAJ","SOUMITRA SENGUPTA ",0,2,"BIO",""
"243","zGSP_osAAAAJ","OURI WOLFSON ",0,2,"CS",""
"244","pOd2M64AAAAJ","DAVID PAUL WILLIAMSON ",0,1,"CS",""
"245","ujDhg2sAAAAJ","KATHLEEN R MCKEOWN ",0,1,"CS",""
"246","pxc_-XYAAAAJ","MARTHA STONE PALMER ",0,1,"CS",""
"247","q16KVs0AAAAJ","DANIEL P HUTTENLOCHER ",0,2,"CS",""
"248","zZ0-4SUAAAAJ","W ERIC GRIMSON ",0,2,"CS",""
"249","q82gOawAAAAJ","BORIS ARONOV ",0,1,"CS",""
"250","q9z6Pt8AAAAJ","H FREDRICK NIJHOUT ",0,1,"BIO",""
"251","qCVy9hgAAAAJ","PAUL M THOMPSON ",0,1,"BIO",""
